cls,path,n_vertices,n_faces,n_triangles
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1337_simplified_norm.obj,9045,17608,17608
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1338_kept_norm.obj,8761,16960,16960
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1339_refined_norm.obj,6235,9550,9550
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1340_simplified_norm.obj,8974,17702,17702
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1341_refined_norm.obj,6622,13184,13184
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1342_simplified_norm.obj,8966,17646,17646
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1343_simplified_norm.obj,9001,17990,17990
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1344_simplified_norm.obj,9103,17338,17338
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1345_simplified_norm.obj,9074,17466,17466
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1346_simplified_norm.obj,8969,17689,17689
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1347_simplified_norm.obj,8970,17782,17782
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1348_simplified_norm.obj,8956,17679,17679
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1349_simplified_norm.obj,8740,17411,17411
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1350_simplified_norm.obj,9025,17526,17526
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1351_simplified_norm.obj,9148,16956,16956
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1352_simplified_norm.obj,8991,17839,17839
Apartment,step2_results\normalized\Apartment\D00045_simplified_norm.obj,10064,12570,12570
Apartment,step2_results\normalized\Apartment\D00086_simplified_norm.obj,9112,17620,17620
Apartment,step2_results\normalized\Apartment\D00138_simplified_norm.obj,9021,17749,17749
Apartment,step2_results\normalized\Apartment\D00156_simplified_norm.obj,8527,13958,13958
Apartment,step2_results\normalized\Apartment\D00310_kept_norm.obj,5934,9026,9026
Apartment,step2_results\normalized\Apartment\D00348_refined_norm.obj,6880,12032,12032
Apartment,step2_results\normalized\Apartment\D00366_simplified_norm.obj,8954,17870,17870
Apartment,step2_results\normalized\Apartment\D00478_simplified_norm.obj,9153,12591,12591
Apartment,step2_results\normalized\Apartment\D00496_refined_norm.obj,5558,9764,9764
Apartment,step2_results\normalized\Apartment\D00626_simplified_norm.obj,7213,17780,17780
Apartment,step2_results\normalized\Apartment\D00639_simplified_norm.obj,9002,17512,17512
Apartment,step2_results\normalized\Apartment\D00651_simplified_norm.obj,8526,13951,13951
Apartment,step2_results\normalized\Apartment\D00681_simplified_norm.obj,10530,12557,12557
Apartment,step2_results\normalized\Apartment\D00780_simplified_norm.obj,6859,10574,10574
Apartment,step2_results\normalized\Apartment\D00792_simplified_norm.obj,8813,16641,16641
Apartment,step2_results\normalized\Apartment\D00859_simplified_norm.obj,9000,17114,17114
Apartment,step2_results\normalized\Apartment\D00860_simplified_norm.obj,9152,12591,12591
Apartment,step2_results\normalized\Apartment\D00869_simplified_norm.obj,8984,15953,15953
Apartment,step2_results\normalized\Apartment\D00921_kept_norm.obj,6688,7972,7972
Apartment,step2_results\normalized\Apartment\D00953_simplified_norm.obj,8872,15587,15587
Apartment,step2_results\normalized\Apartment\m463_refined_norm.obj,7539,14620,14620
Apartment,step2_results\normalized\Apartment\m464_simplified_norm.obj,6786,10068,10068
Apartment,step2_results\normalized\Apartment\m465_refined_norm.obj,8906,17452,17452
AquaticAnimal,step2_results\normalized\AquaticAnimal\m53_simplified_norm.obj,9046,17017,17017
AquaticAnimal,step2_results\normalized\AquaticAnimal\m54_simplified_norm.obj,9026,16780,16780
AquaticAnimal,step2_results\normalized\AquaticAnimal\m55_simplified_norm.obj,9032,17078,17078
AquaticAnimal,step2_results\normalized\AquaticAnimal\m56_kept_norm.obj,5814,10893,10893
AquaticAnimal,step2_results\normalized\AquaticAnimal\m57_simplified_norm.obj,9069,17280,17280
AquaticAnimal,step2_results\normalized\AquaticAnimal\m58_refined_norm.obj,7602,15200,15200
AquaticAnimal,step2_results\normalized\AquaticAnimal\m59_simplified_norm.obj,9005,17932,17932
AquaticAnimal,step2_results\normalized\AquaticAnimal\m60_refined_norm.obj,6418,12832,12832
AquaticAnimal,step2_results\normalized\AquaticAnimal\m61_simplified_norm.obj,9052,17484,17484
AquaticAnimal,step2_results\normalized\AquaticAnimal\m62_simplified_norm.obj,9000,17996,17996
AquaticAnimal,step2_results\normalized\AquaticAnimal\m63_simplified_norm.obj,8842,17051,17051
AquaticAnimal,step2_results\normalized\AquaticAnimal\m64_simplified_norm.obj,9034,17716,17716
AquaticAnimal,step2_results\normalized\AquaticAnimal\m65_simplified_norm.obj,9018,17826,17826
AquaticAnimal,step2_results\normalized\AquaticAnimal\m66_simplified_norm.obj,8754,17403,17403
AquaticAnimal,step2_results\normalized\AquaticAnimal\m67_simplified_norm.obj,9000,17996,17996
AquaticAnimal,step2_results\normalized\AquaticAnimal\m68_refined_norm.obj,8788,17568,17568
AquaticAnimal,step2_results\normalized\AquaticAnimal\m69_simplified_norm.obj,9013,17838,17838
AquaticAnimal,step2_results\normalized\AquaticAnimal\m70_simplified_norm.obj,9003,17778,17778
AquaticAnimal,step2_results\normalized\AquaticAnimal\m71_refined_norm.obj,6690,13376,13376
AquaticAnimal,step2_results\normalized\AquaticAnimal\m72_simplified_norm.obj,8974,17827,17827
AquaticAnimal,step2_results\normalized\AquaticAnimal\m73_simplified_norm.obj,8994,17974,17974
AquaticAnimal,step2_results\normalized\AquaticAnimal\m74_simplified_norm.obj,8994,17715,17715
AquaticAnimal,step2_results\normalized\AquaticAnimal\m75_simplified_norm.obj,8990,17742,17742
AquaticAnimal,step2_results\normalized\AquaticAnimal\m76_refined_norm.obj,6325,12648,12648
AquaticAnimal,step2_results\normalized\AquaticAnimal\m77_simplified_norm.obj,9015,17894,17894
AquaticAnimal,step2_results\normalized\AquaticAnimal\m78_refined_norm.obj,6231,11680,11680
AquaticAnimal,step2_results\normalized\AquaticAnimal\m79_refined_norm.obj,7531,14464,14464
AquaticAnimal,step2_results\normalized\AquaticAnimal\m80_simplified_norm.obj,8993,17645,17645
AquaticAnimal,step2_results\normalized\AquaticAnimal\m81_simplified_norm.obj,8952,17612,17612
Bed,step2_results\normalized\Bed\D00031_refined_norm.obj,7368,14352,14352
Bed,step2_results\normalized\Bed\D00110_refined_norm.obj,7455,14576,14576
Bed,step2_results\normalized\Bed\D00121_simplified_norm.obj,9021,17886,17886
Bed,step2_results\normalized\Bed\D00184_simplified_norm.obj,6806,13378,13378
Bed,step2_results\normalized\Bed\D00210_simplified_norm.obj,9076,17819,17819
Bed,step2_results\normalized\Bed\D00213_refined_norm.obj,9068,18052,18052
Bed,step2_results\normalized\Bed\D00217_simplified_norm.obj,9007,17742,17742
Bed,step2_results\normalized\Bed\D00307_simplified_norm.obj,8945,17707,17707
Bed,step2_results\normalized\Bed\D00322_simplified_norm.obj,6803,13518,13518
Bed,step2_results\normalized\Bed\D00417_simplified_norm.obj,9009,17946,17946
Bed,step2_results\normalized\Bed\D00538_simplified_norm.obj,6809,13214,13214
Bed,step2_results\normalized\Bed\D00545_refined_norm.obj,6544,12944,12944
Bed,step2_results\normalized\Bed\D00552_kept_norm.obj,6349,12248,12248
Bed,step2_results\normalized\Bed\D00565_simplified_norm.obj,8987,17830,17830
Bed,step2_results\normalized\Bed\D00650_simplified_norm.obj,9009,17944,17944
Bed,step2_results\normalized\Bed\D00735_refined_norm.obj,5985,10944,10944
Bed,step2_results\normalized\Bed\D00836_refined_norm.obj,6340,12488,12488
Bed,step2_results\normalized\Bed\D00839_simplified_norm.obj,9009,17953,17953
Bed,step2_results\normalized\Bed\D00969_simplified_norm.obj,9113,17394,17394
Bed,step2_results\normalized\Bed\D00988_simplified_norm.obj,9017,17970,17970
Bed,step2_results\normalized\Bed\m945_simplified_norm.obj,6795,13123,13123
Bed,step2_results\normalized\Bed\m946_refined_norm.obj,5651,10304,10304
Bed,step2_results\normalized\Bed\m947_simplified_norm.obj,9033,16224,16224
Bed,step2_results\normalized\Bed\m948_simplified_norm.obj,9039,17922,17922
Bed,step2_results\normalized\Bed\m949_simplified_norm.obj,9002,17980,17980
Bed,step2_results\normalized\Bed\m950_refined_norm.obj,6032,11520,11520
Bed,step2_results\normalized\Bed\m951_simplified_norm.obj,9049,17405,17405
Bicycle,step2_results\normalized\Bicycle\D00016_simplified_norm.obj,9041,17146,17146
Bicycle,step2_results\normalized\Bicycle\D00033_refined_norm.obj,8554,16124,16124
Bicycle,step2_results\normalized\Bicycle\D00040_simplified_norm.obj,9037,17221,17221
Bicycle,step2_results\normalized\Bicycle\D00077_simplified_norm.obj,8946,17598,17598
Bicycle,step2_results\normalized\Bicycle\D00078_simplified_norm.obj,9009,17244,17244
Bicycle,step2_results\normalized\Bicycle\D00462_simplified_norm.obj,8239,16147,16147
Bicycle,step2_results\normalized\Bicycle\D00514_kept_norm.obj,6951,12939,12939
Bicycle,step2_results\normalized\Bicycle\D00536_simplified_norm.obj,9000,17193,17193
Bicycle,step2_results\normalized\Bicycle\D00555_simplified_norm.obj,9012,15547,15547
Bicycle,step2_results\normalized\Bicycle\D00558_simplified_norm.obj,8801,16852,16852
Bicycle,step2_results\normalized\Bicycle\D00567_refined_norm.obj,7306,14656,14656
Bicycle,step2_results\normalized\Bicycle\D00621_simplified_norm.obj,9041,17146,17146
Bicycle,step2_results\normalized\Bicycle\D00708_simplified_norm.obj,9010,17164,17164
Bicycle,step2_results\normalized\Bicycle\D00750_simplified_norm.obj,9035,17700,17700
Bicycle,step2_results\normalized\Bicycle\D00838_simplified_norm.obj,9008,17170,17170
Bicycle,step2_results\normalized\Bicycle\D00847_simplified_norm.obj,9009,17246,17246
Bicycle,step2_results\normalized\Bicycle\D00904_kept_norm.obj,5354,10548,10548
Bicycle,step2_results\normalized\Bicycle\D00930_simplified_norm.obj,8986,16979,16979
Bicycle,step2_results\normalized\Bicycle\D00931_simplified_norm.obj,9006,16702,16702
Bicycle,step2_results\normalized\Bicycle\D00974_kept_norm.obj,6044,11946,11946
Bicycle,step2_results\normalized\Bicycle\m1472_refined_norm.obj,7084,13440,13440
Bicycle,step2_results\normalized\Bicycle\m1473_refined_norm.obj,8556,16136,16136
Bicycle,step2_results\normalized\Bicycle\m1475_kept_norm.obj,6044,11948,11948
Bicycle,step2_results\normalized\Bicycle\m1476_refined_norm.obj,7306,14656,14656
Bicycle,step2_results\normalized\Bicycle\m1477_simplified_norm.obj,9009,17239,17239
Bicycle,step2_results\normalized\Bicycle\m1478_simplified_norm.obj,9041,17146,17146
Biplane,step2_results\normalized\Biplane\D00069_simplified_norm.obj,9042,17680,17680
Biplane,step2_results\normalized\Biplane\D00132_simplified_norm.obj,9020,16249,16249
Biplane,step2_results\normalized\Biplane\D00178_simplified_norm.obj,8973,15845,15845
Biplane,step2_results\normalized\Biplane\D00199_refined_norm.obj,8849,15010,15010
Biplane,step2_results\normalized\Biplane\D00246_kept_norm.obj,5020,9246,9246
Biplane,step2_results\normalized\Biplane\D00276_refined_norm.obj,7478,14656,14656
Biplane,step2_results\normalized\Biplane\D00277_simplified_norm.obj,8121,14867,14867
Biplane,step2_results\normalized\Biplane\D00320_kept_norm.obj,9723,17379,17379
Biplane,step2_results\normalized\Biplane\D00373_kept_norm.obj,5940,11385,11385
Biplane,step2_results\normalized\Biplane\D00410_refined_norm.obj,8548,17016,17016
Biplane,step2_results\normalized\Biplane\D00490_simplified_norm.obj,9110,17812,17812
Biplane,step2_results\normalized\Biplane\D00515_kept_norm.obj,5376,10513,10513
Biplane,step2_results\normalized\Biplane\D00601_simplified_norm.obj,9036,17920,17920
Biplane,step2_results\normalized\Biplane\D00616_simplified_norm.obj,8634,17971,17971
Biplane,step2_results\normalized\Biplane\D00632_refined_norm.obj,8634,16384,16384
Biplane,step2_results\normalized\Biplane\D00634_simplified_norm.obj,9014,16489,16489
Biplane,step2_results\normalized\Biplane\D00666_refined_norm.obj,6634,12704,12704
Biplane,step2_results\normalized\Biplane\D00854_simplified_norm.obj,9146,17704,17704
Biplane,step2_results\normalized\Biplane\D00890_simplified_norm.obj,8964,16528,16528
Biplane,step2_results\normalized\Biplane\D00900_simplified_norm.obj,8352,15211,15211
Biplane,step2_results\normalized\Biplane\m1118_simplified_norm.obj,8949,17204,17204
Biplane,step2_results\normalized\Biplane\m1119_simplified_norm.obj,9055,17710,17710
Biplane,step2_results\normalized\Biplane\m1120_simplified_norm.obj,8933,16554,16554
Biplane,step2_results\normalized\Biplane\m1121_simplified_norm.obj,9025,17394,17394
Biplane,step2_results\normalized\Biplane\m1122_kept_norm.obj,6704,11497,11497
Biplane,step2_results\normalized\Biplane\m1123_simplified_norm.obj,8991,17333,17333
Biplane,step2_results\normalized\Biplane\m1124_simplified_norm.obj,9006,16929,16929
Biplane,step2_results\normalized\Biplane\m1125_refined_norm.obj,5646,10464,10464
Biplane,step2_results\normalized\Biplane\m1126_simplified_norm.obj,8991,17274,17274
Biplane,step2_results\normalized\Biplane\m1127_simplified_norm.obj,9055,17304,17304
Biplane,step2_results\normalized\Biplane\m1128_simplified_norm.obj,9019,17293,17293
Biplane,step2_results\normalized\Biplane\m1129_simplified_norm.obj,9064,17400,17400
Biplane,step2_results\normalized\Biplane\m1131_refined_norm.obj,6530,12288,12288
Biplane,step2_results\normalized\Biplane\m1132_simplified_norm.obj,8999,17041,17041
Biplane,step2_results\normalized\Biplane\m1133_refined_norm.obj,8634,16384,16384
Biplane,step2_results\normalized\Biplane\m1134_simplified_norm.obj,9051,17320,17320
Biplane,step2_results\normalized\Biplane\m1135_simplified_norm.obj,9091,16745,16745
Biplane,step2_results\normalized\Biplane\m1136_simplified_norm.obj,9040,17538,17538
Biplane,step2_results\normalized\Biplane\m1137_simplified_norm.obj,9078,16854,16854
Biplane,step2_results\normalized\Biplane\m1138_refined_norm.obj,7555,13808,13808
Biplane,step2_results\normalized\Biplane\m1139_simplified_norm.obj,8933,15091,15091
Biplane,step2_results\normalized\Biplane\m1141_simplified_norm.obj,9010,17581,17581
Biplane,step2_results\normalized\Biplane\m1143_simplified_norm.obj,9037,17622,17622
Biplane,step2_results\normalized\Biplane\m1144_simplified_norm.obj,9109,17408,17408
Biplane,step2_results\normalized\Biplane\m1146_refined_norm.obj,6385,12060,12060
Bird,step2_results\normalized\Bird\D00089_simplified_norm.obj,9000,17996,17996
Bird,step2_results\normalized\Bird\D00113_simplified_norm.obj,9008,17976,17976
Bird,step2_results\normalized\Bird\D00164_simplified_norm.obj,6808,13374,13374
Bird,step2_results\normalized\Bird\D00234_simplified_norm.obj,9013,17976,17976
Bird,step2_results\normalized\Bird\D00271_simplified_norm.obj,8976,17344,17344
Bird,step2_results\normalized\Bird\D00284_simplified_norm.obj,8999,17990,17990
Bird,step2_results\normalized\Bird\D00323_simplified_norm.obj,8931,17104,17104
Bird,step2_results\normalized\Bird\D00386_refined_norm.obj,6998,13992,13992
Bird,step2_results\normalized\Bird\D00438_refined_norm.obj,7344,14572,14572
Bird,step2_results\normalized\Bird\D00442_kept_norm.obj,8996,17079,17079
Bird,step2_results\normalized\Bird\D00546_simplified_norm.obj,9133,17638,17638
Bird,step2_results\normalized\Bird\D00599_refined_norm.obj,7195,14256,14256
Bird,step2_results\normalized\Bird\D00625_simplified_norm.obj,8985,15535,15535
Bird,step2_results\normalized\Bird\D00689_simplified_norm.obj,8995,17838,17838
Bird,step2_results\normalized\Bird\D00736_simplified_norm.obj,8996,17839,17839
Bird,step2_results\normalized\Bird\D00762_simplified_norm.obj,9000,17996,17996
Bird,step2_results\normalized\Bird\D00862_simplified_norm.obj,8999,17983,17983
Bird,step2_results\normalized\Bird\D00922_simplified_norm.obj,9002,17992,17992
Bird,step2_results\normalized\Bird\D00961_simplified_norm.obj,9003,17862,17862
Bird,step2_results\normalized\Bird\D00999_refined_norm.obj,5947,11872,11872
Bird,step2_results\normalized\Bird\m28_kept_norm.obj,6057,11644,11644
Bird,step2_results\normalized\Bird\m29_simplified_norm.obj,9013,17898,17898
Bird,step2_results\normalized\Bird\m30_refined_norm.obj,6135,11936,11936
Bird,step2_results\normalized\Bird\m31_refined_norm.obj,7152,14192,14192
Bird,step2_results\normalized\Bird\m32_simplified_norm.obj,9002,17992,17992
Bird,step2_results\normalized\Bird\m33_simplified_norm.obj,9016,17908,17908
Bird,step2_results\normalized\Bird\m34_simplified_norm.obj,9000,17996,17996
Bird,step2_results\normalized\Bird\m35_simplified_norm.obj,9000,17996,17996
Bird,step2_results\normalized\Bird\m36_simplified_norm.obj,9028,17954,17954
Bird,step2_results\normalized\Bird\m37_refined_norm.obj,9042,18080,18080
Bird,step2_results\normalized\Bird\m38_refined_norm.obj,7397,14772,14772
Bird,step2_results\normalized\Bird\m39_refined_norm.obj,9517,18496,18496
Bird,step2_results\normalized\Bird\m40_simplified_norm.obj,8995,17838,17838
Bird,step2_results\normalized\Bird\m41_refined_norm.obj,7344,14572,14572
Bird,step2_results\normalized\Bird\m42_refined_norm.obj,6685,13186,13186
Bird,step2_results\normalized\Bird\m43_refined_norm.obj,7076,13824,13824
Bird,step2_results\normalized\Bird\m44_refined_norm.obj,6386,12768,12768
Bird,step2_results\normalized\Bird\m45_simplified_norm.obj,9002,17992,17992
Bird,step2_results\normalized\Bird\m47_simplified_norm.obj,9110,17813,17813
Bird,step2_results\normalized\Bird\m48_refined_norm.obj,6637,13136,13136
Bird,step2_results\normalized\Bird\m49_refined_norm.obj,8991,17388,17388
Bird,step2_results\normalized\Bird\m50_refined_norm.obj,5826,11648,11648
